County,Docket_Number,Offense_Tracking_Number,Filing_Date,Offense_Sequence_Number,Statute_Title,Statute_Section,Statute_SubSection,Offense_Description,Offense_Grade,Offense_Disposition,Offense_Disposition_Date,Case_Disposition,Case_Disposition_Date
Delaware,CP-23-CR-0007635-2014,L8973565,12/3/2014,1,18,2702,A3,Aggravated Assault - Attempts to cause or causes BI to designated individuals,F2,Guilty Plea - Mental Health Court (Open),12/18/2014,Guilty Plea - Mental Health Court (Open),12/18/2014
Delaware,CP-23-CR-0007635-2014,L8973565,12/3/2014,2,18,2702,A3,Aggravated Assault - Attempts to cause or causes BI to designated individuals,F2,Dismissed,12/18/2014,Guilty Plea - Mental Health Court (Open),12/18/2014
Delaware,CP-23-CR-0007635-2014,L8973565,12/3/2014,3,18,2702,A3,Aggravated Assault - Attempts to cause or causes BI to designated individuals,F2,Dismissed,12/18/2014,Guilty Plea - Mental Health Court (Open),12/18/2014
Delaware,CP-23-CR-0007635-2014,L8973565,12/3/2014,4,18,2702,A3,Aggravated Assault - Attempts to cause or causes BI to designated individuals,F2,Guilty Plea - Mental Health Court (Open),12/18/2014,Guilty Plea - Mental Health Court (Open),12/18/2014
Delaware,CP-23-CR-0007635-2014,L8973565,12/3/2014,5,18,2702,A3,Aggravated Assault - Attempts to cause or causes BI to designated individuals,F2,Dismissed,12/18/2014,Guilty Plea - Mental Health Court (Open),12/18/2014
Delaware,CP-23-CR-0007635-2014,L8973565,12/3/2014,6,18,2705,,Recklessly Endangering Another Person,M2,Dismissed,12/18/2014,Guilty Plea - Mental Health Court (Open),12/18/2014
Delaware,CP-23-CR-0007635-2014,L8973565,12/3/2014,7,18,2705,,Recklessly Endangering Another Person,M2,Dismissed,12/18/2014,Guilty Plea - Mental Health Court (Open),12/18/2014
Delaware,CP-23-CR-0007635-2014,L8973565,12/3/2014,8,18,2705,,Recklessly Endangering Another Person,M2,Dismissed,12/18/2014,Guilty Plea - Mental Health Court (Open),12/18/2014
Delaware,CP-23-CR-0007635-2014,L8973565,12/3/2014,9,18,2705,,Recklessly Endangering Another Person,M2,Dismissed,12/18/2014,Guilty Plea - Mental Health Court (Open),12/18/2014
Delaware,CP-23-CR-0007635-2014,L8973565,12/3/2014,10,18,2705,,Recklessly Endangering Another Person,M2,Dismissed,12/18/2014,Guilty Plea - Mental Health Court (Open),12/18/2014
Delaware,CP-23-CR-0007635-2014,L8973565,12/3/2014,11,18,2706,A1,Terroristic Threats W/ Int To Terrorize Another,M1,Guilty Plea - Mental Health Court (Open),12/18/2014,Guilty Plea - Mental Health Court (Open),12/18/2014
Delaware,CP-23-CR-0007635-2014,L8973565,12/3/2014,12,18,2706,A1,Terroristic Threats W/ Int To Terrorize Another,M1,Dismissed,12/18/2014,Guilty Plea - Mental Health Court (Open),12/18/2014
Delaware,CP-23-CR-0007635-2014,L8973565,12/3/2014,13,18,2706,A1,Terroristic Threats W/ Int To Terrorize Another,F3,Dismissed,12/18/2014,Guilty Plea - Mental Health Court (Open),12/18/2014
Delaware,CP-23-CR-0007635-2014,L8973565,12/3/2014,14,18,2706,A1,Terroristic Threats W/ Int To Terrorize Another,M1,Dismissed,12/18/2014,Guilty Plea - Mental Health Court (Open),12/18/2014
Delaware,CP-23-CR-0007635-2014,L8973565,12/3/2014,15,18,2706,A1,Terroristic Threats W/ Int To Terrorize Another,M1,Dismissed,12/18/2014,Guilty Plea - Mental Health Court (Open),12/18/2014
Delaware,CP-23-CR-0007635-2014,L8973565,12/3/2014,16,18,2709,A4,"Harassment - Comm. Lewd, Threatening, Etc. Language",M3,Dismissed,12/18/2014,Guilty Plea - Mental Health Court (Open),12/18/2014
Delaware,CP-23-CR-0007635-2014,L8973565,12/3/2014,17,18,2709,A4,"Harassment - Comm. Lewd, Threatening, Etc. Language",M3,Dismissed,12/18/2014,Guilty Plea - Mental Health Court (Open),12/18/2014
Delaware,CP-23-CR-0007635-2014,L8973565,12/3/2014,18,18,2709,A4,"Harassment - Comm. Lewd, Threatening, Etc. Language",M3,Dismissed,12/18/2014,Guilty Plea - Mental Health Court (Open),12/18/2014
Delaware,CP-23-CR-0007635-2014,L8973565,12/3/2014,19,18,2709,A4,"Harassment - Comm. Lewd, Threatening, Etc. Language",M3,Dismissed,12/18/2014,Guilty Plea - Mental Health Court (Open),12/18/2014
Delaware,CP-23-CR-0007635-2014,L8973565,12/3/2014,20,18,2709,A4,"Harassment - Comm. Lewd, Threatening, Etc. Language",M3,Dismissed,12/18/2014,Guilty Plea - Mental Health Court (Open),12/18/2014
Delaware,CP-23-CR-0007635-2014,L8973565,12/3/2014,21,18,2710,A,Ethnic Intimidation,M3,Dismissed,12/18/2014,Guilty Plea - Mental Health Court (Open),12/18/2014
Delaware,CP-23-CR-0007635-2014,L8973565,12/3/2014,22,18,2710,A,Ethnic Intimidation,F1,Dismissed,12/18/2014,Guilty Plea - Mental Health Court (Open),12/18/2014
Delaware,CP-23-CR-0007635-2014,L8973565,12/3/2014,23,18,5104,,Resist Arrest/Other Law Enforce,M2,Guilty Plea - Mental Health Court (Open),12/18/2014,Guilty Plea - Mental Health Court (Open),12/18/2014
Delaware,CP-23-CR-0007635-2014,L8973565,12/3/2014,24,18,5104,,Resist Arrest/Other Law Enforce,M2,Dismissed,12/18/2014,Guilty Plea - Mental Health Court (Open),12/18/2014
Delaware,CP-23-MD-0000623-2018,T9888524,3/9/2018,1,18,2706,A1,Terroristic Threats W/ Int To Terrorize Another,M1,,,,
Delaware,CP-23-MD-0000623-2018,T9888524,3/9/2018,2,18,5104,,Resist Arrest/Other Law Enforce,M2,,,,
Delaware,CP-23-CR-0003150-2017,T8746964,5/30/2017,1,18,2502,C,Murder Of The Third Degree,F1,Guilty Plea - Negotiated,9/9/2022,Guilty Plea - Negotiated,9/9/2022
Delaware,CP-23-CR-0003150-2017,T8746964,5/30/2017,2,18,3701,A1I,Robbery-Inflict Serious Bodily Injury,F1,Guilty Plea - Negotiated,9/9/2022,Guilty Plea - Negotiated,9/9/2022
Delaware,CP-23-CR-0003150-2017,T8746964,5/30/2017,3,18,907,A,Poss Instrument Of Crime W/Int,M1,Guilty Plea - Negotiated,9/9/2022,Guilty Plea - Negotiated,9/9/2022
Delaware,CP-23-CR-0003150-2017,T8746964,5/30/2017,4,18,907,A,Poss Instrument Of Crime W/Int,M1,Guilty Plea - Negotiated,9/9/2022,Guilty Plea - Negotiated,9/9/2022
Delaware,CP-23-CR-0003150-2017,T8746964,5/30/2017,5,18,2902,A1,Unlawful Restraint/ Serious Bodily Injury,M1,Guilty Plea - Negotiated,9/9/2022,Guilty Plea - Negotiated,9/9/2022
Delaware,CP-23-CR-0003150-2017,T8746964,5/30/2017,6,18,2901,A2,Kidnap To Facilitate A Felony,F1,Guilty Plea - Negotiated,9/9/2022,Guilty Plea - Negotiated,9/9/2022
Delaware,CP-23-CR-0003150-2017,T8746964,5/30/2017,7,18,3503,A1I,Crim Tres-Enter Structure,F3,Guilty Plea - Negotiated,9/9/2022,Guilty Plea - Negotiated,9/9/2022
Delaware,CP-23-CR-0003150-2017,T8746964,5/30/2017,8,18,2501,A,Criminal Homicide,F1,Withdrawn,6/6/2017,Guilty Plea - Negotiated,9/9/2022
Delaware,CP-23-CR-0003150-2017,T8746964,5/30/2017,9,18,2502,A,Murder Of The First Degree,H1,Withdrawn,6/6/2017,Guilty Plea - Negotiated,9/9/2022
Delaware,CP-23-CR-0003150-2017,T8746964,5/30/2017,10,18,2502,B,Murder Of The Second Degree,H2,Withdrawn,6/6/2017,Guilty Plea - Negotiated,9/9/2022
Philadelphia,MC-51-CR-0008369-2020,U2022392,5/2/2020,1,18,3122.1,,Statutory Sexual Assault,,Proceed to Court,5/2/2020,,
Philadelphia,MC-51-CR-0008369-2020,U2022392,5/2/2020,2,18,3124.1,,Sexual Assault,F2,Proceed to Court,5/2/2020,,
Philadelphia,MC-51-CR-0008369-2020,U2022392,5/2/2020,3,18,6301,A1i,Corruption Of Minors,M1,Proceed to Court,5/2/2020,,
Philadelphia,MC-51-CR-0008369-2020,U2022392,5/2/2020,4,18,3126,A2,Indecent Assault Forcible Compulsion,M1,Proceed to Court,5/2/2020,,
Philadelphia,MC-51-CR-0008369-2020,U2022392,5/2/2020,5,18,3127,A,Indecent Exposure,M1,Proceed to Court,5/2/2020,,
Berks,CP-06-CR-0003827-2016,X0380516,8/26/2016,2,18,3127,A,Indecent Exposure,M1,Guilty Plea,5/30/2019,Guilty Plea,5/30/2019
Berks,CP-06-CR-0000152-2022,R2199971,1/18/2022,1,18,3921,A,Theft By Unlaw Taking-Movable Prop,F2,Proceed to Court,1/27/2022,,
Berks,CP-06-CR-0000152-2022,R2199971,1/18/2022,2,18,3925,A,Receiving Stolen Property,F2,Proceed to Court,1/27/2022,,
Delaware,CP-23-CR-0001389-2020,X3157372,4/30/2020,1,18,2702,A1,Aggravated Assault - Attempts to cause SBI or causes injury with extreme indifference,F1,Sent to Common Pleas (Lower Court),4/30/2020,,
Delaware,CP-23-CR-0001389-2020,X3157372,4/30/2020,2,18,2702,A1,Aggravated Assault - Attempts to cause SBI or causes injury with extreme indifference,F1,Sent to Common Pleas (Lower Court),4/30/2020,,
Delaware,CP-23-CR-0001389-2020,X3157372,4/30/2020,3,18,2701,A2,Simple Assault,M2,Sent to Common Pleas (Lower Court),4/30/2020,,
Delaware,CP-23-CR-0001389-2020,X3157372,4/30/2020,4,18,2701,A2,Simple Assault,M2,Sent to Common Pleas (Lower Court),4/30/2020,,
Delaware,CP-23-CR-0001389-2020,X3157372,4/30/2020,5,18,2705,,Recklessly Endangering Another Person,M2,Sent to Common Pleas (Lower Court),4/30/2020,,
Delaware,CP-23-CR-0001389-2020,X3157372,4/30/2020,6,18,2705,,Recklessly Endangering Another Person,M2,Sent to Common Pleas (Lower Court),4/30/2020,,
Delaware,CP-23-CR-0001389-2020,X3157372,4/30/2020,7,18,2705,,Recklessly Endangering Another Person,M2,Sent to Common Pleas (Lower Court),4/30/2020,,
Delaware,CP-23-CR-0001389-2020,X3157372,4/30/2020,8,18,2705,,Recklessly Endangering Another Person,M2,Sent to Common Pleas (Lower Court),4/30/2020,,
Delaware,CP-23-CR-0001389-2020,X3157372,4/30/2020,9,18,907,A,Poss Instrument Of Crime W/Int,M1,Sent to Common Pleas (Lower Court),4/30/2020,,
Westmoreland,CP-65-CR-0000414-2018,X1218140,1/30/2018,1,18,2702,A1,Aggravated Assault - Attempts to cause SBI or causes injury with extreme indifference,F1,Guilty Plea - Negotiated,12/17/2019,Guilty Plea - Negotiated,12/17/2019
Westmoreland,CP-65-CR-0000414-2018,X1218140,1/30/2018,2,18,2702,A1,Conspiracy Aggravated Assault - Attempts to cause SBI or causes injury with extreme indifference,F1,Guilty Plea - Negotiated,12/17/2019,Guilty Plea - Negotiated,12/17/2019
Westmoreland,CP-65-CR-0000414-2018,X1218140,1/30/2018,3,18,2718,A1,Strangulation - Applying Pressure to Throat or Neck,F2,Guilty Plea - Negotiated,12/17/2019,Guilty Plea - Negotiated,12/17/2019
Westmoreland,CP-65-CR-0000414-2018,X1218140,1/30/2018,4,18,2706,A1,Terroristic Threats W/ Int To Terrorize Another,M1,Guilty Plea - Negotiated,12/17/2019,Guilty Plea - Negotiated,12/17/2019
Westmoreland,CP-65-CR-0000414-2018,X1218140,1/30/2018,5,18,2903,A,False Imprisonment,M2,Guilty Plea - Negotiated,12/17/2019,Guilty Plea - Negotiated,12/17/2019
Westmoreland,CP-65-CR-0000414-2018,X1218140,1/30/2018,6,18,2701,A1,Simple Assault,M2,Guilty Plea - Negotiated,12/17/2019,Guilty Plea - Negotiated,12/17/2019
Westmoreland,CP-65-CR-0000414-2018,X1218140,1/30/2018,7,18,2709,A1,Harassment - Subject Other to Physical Contact,S,Guilty Plea - Negotiated,12/17/2019,Guilty Plea - Negotiated,12/17/2019
Westmoreland,CP-65-CR-0000414-2018,X1218140,1/30/2018,8,18,3304,A5,Criminal Mischief - Damage Property,S,Guilty Plea - Negotiated,12/17/2019,Guilty Plea - Negotiated,12/17/2019
Delaware,CP-23-CR-0004564-2019,U7072026,8/5/2019,2,18,2702,A3,Aggravated Assault - Attempts to cause or causes BI to designated individuals,F2,Guilty Plea - Negotiated,3/23/2020,Guilty Plea - Negotiated,3/23/2020
Delaware,CP-23-CR-0004789-2019,U7052205,8/14/2019,1,18,5104,,Resist Arrest/Other Law Enforce,M2,Guilty Plea - Negotiated,3/23/2020,Guilty Plea - Negotiated,3/23/2020
Delaware,CP-23-CR-0002832-2014,T4575056,5/12/2014,1,18,2701,A1,Simple Assault,M2,Guilty Plea - Negotiated,8/27/2014,Guilty Plea - Negotiated,8/27/2014
Delaware,CP-23-CR-0002832-2014,T4575056,5/12/2014,4,18,907,A,Poss Instrument Of Crime W/Int,M1,Guilty Plea - Negotiated,8/27/2014,Guilty Plea - Negotiated,8/27/2014
Delaware,CP-23-CR-0007434-2014,T5617533,11/21/2014,1,18,4952,A1,Intim Wit/Vit - Refrain From Report,M2,Proceed to Court,12/17/2014,,
Delaware,CP-23-CR-0007434-2014,T5617533,11/21/2014,2,18,4952,A1,Intim Wit/Vit - Refrain From Report,M2,Proceed to Court,12/17/2014,,
Delaware,CP-23-CR-0007434-2014,T5617533,11/21/2014,3,18,4952,A1,Intim Wit/Vit - Refrain From Report,M2,Proceed to Court,12/17/2014,,
Delaware,CP-23-CR-0007434-2014,T5617533,11/21/2014,4,18,4952,A2,Intim Witness/Victim False/Misleading Testimony,M2,Proceed to Court,12/17/2014,,
Delaware,CP-23-CR-0007434-2014,T5617533,11/21/2014,5,18,4952,A3,Intimidate Witness/Victim - Withhold Testimony,M2,Proceed to Court,12/17/2014,,
Delaware,CP-23-CR-0007434-2014,T5617533,11/21/2014,6,18,4952,A4,Intim Wit/Vict - False/Misl to Atty,M2,Proceed to Court,12/17/2014,,
Delaware,CP-23-CR-0007434-2014,T5617533,11/21/2014,7,18,4952,A5,Intim Witness/Victim Elude/Evade/Ignore,M2,Proceed to Court,12/17/2014,,
Delaware,CP-23-CR-0007434-2014,T5617533,11/21/2014,8,18,4953,A,Retaliation Against Witness or Victim,F3,Proceed to Court,12/17/2014,,
Delaware,CP-23-CR-0007434-2014,T5617533,11/21/2014,9,18,2709.1,A1,Stalking - Repeatedly Commit Acts To Cause Fear,M1,Proceed to Court,12/17/2014,,
Delaware,CP-23-CR-0007434-2014,T5617533,11/21/2014,10,18,2709.1,A2,Stalking - Repeatedly Comm. To Cause Fear,M1,Proceed to Court,12/17/2014,,
Delaware,CP-23-CR-0007434-2014,T5617533,11/21/2014,11,18,2709,A3,Harassment - Course of Conduct W/No Legitimate Purpose,M3,Proceed to Court,12/17/2014,,
Delaware,CP-23-CR-0007434-2014,T5617533,11/21/2014,12,18,2709,A7,Harassment - Comm. Repeatedly in Another Manner,M3,Proceed to Court,12/17/2014,,
Delaware,CP-23-CR-0007434-2014,T5617533,11/21/2014,13,18,5101,,Criminal Attempt Obstruct Admin Law/Other Govt Func,M2,Proceed to Court,12/17/2014,,
Delaware,CP-23-CR-0007434-2014,T5617533,11/21/2014,99999,18,2709,A3,Harassment - Course of Conduct W/No Legitimate Purpose,M3,Withdrawn,12/17/2014,,
Delaware,CP-23-CR-0007434-2014,T5617533,11/21/2014,99999,18,2709.1,A2,Stalking - Repeatedly Comm. To Cause Fear,F3,Withdrawn,12/17/2014,,
Luzerne,CP-40-CR-0002823-2018,X1914032,8/17/2018,1,18,2706,A1,Terroristic Threats W/ Int To Terrorize Another,M1,Guilty Plea,10/1/2019,Guilty Plea,10/1/2019
Luzerne,CP-40-CR-0003276-2018,U6268883,9/21/2018,1,35,780-113,A32,Use/Poss Of Drug Paraph,M,Guilty Plea,10/1/2019,Guilty Plea,10/1/2019
Delaware,CP-23-CR-0003292-2019,X2553563,6/5/2019,1,18,3921,A,Theft By Unlaw Taking-Movable Prop,F3,Guilty Plea - Negotiated,10/9/2019,Guilty Plea - Negotiated,10/9/2019
Delaware,CP-23-MD-0001153-2019,X2553563,5/10/2019,1,18,3921,A,Theft By Unlaw Taking-Movable Prop,F3,,,,
Delaware,CP-23-CR-0005021-2021,R1440482,11/24/2021,1,18,3503,A1I,Crim Tres-Enter Structure,F3,Proceed to Court,12/15/2021,,
Delaware,CP-23-CR-0005021-2021,R1440482,11/24/2021,2,18,2706,A1,Terroristic Threats W/ Int To Terrorize Another,M1,Proceed to Court,12/15/2021,,
Delaware,CP-23-CR-0005021-2021,R1440482,11/24/2021,3,18,2709.1,A1,Stalking - Repeatedly Commit Acts To Cause Fear,M1,Proceed to Court,12/15/2021,,
Delaware,CP-23-CR-0005021-2021,R1440482,11/24/2021,4,18,2709,A3,Harassment - Course of Conduct W/No Legitimate Purpose,S,Proceed to Court,12/15/2021,,
Delaware,CP-23-CR-0005021-2021,R1440482,11/24/2021,5,18,2709,A3,Harassment - Course of Conduct W/No Legitimate Purpose,S,Proceed to Court,12/15/2021,,
Delaware,CP-23-CR-0005021-2021,R1440482,11/24/2021,6,18,5503,A3,Disorderly Conduct Obscene Lang/Gest,S,Proceed to Court,12/15/2021,,
Delaware,CP-23-CR-0005021-2021,R1440482,11/24/2021,7,18,5503,A4,Disorderly Conduct Hazardous/Physi Off,S,Proceed to Court,12/15/2021,,
Delaware,CP-23-CR-0000527-2021,X3637373,2/9/2021,4,18,3304,A2,Crim'l Misch-Tamper W/Property,M2,Nolo Contendere,11/18/2021,Nolo Contendere,11/18/2021
Centre,CP-14-CR-0000948-2021,X4154301,9/9/2021,1,18,2701,A1,Simple Assault,M2,Proceed to Court (Arraignment Waived),8/17/2022,,
Centre,CP-14-CR-0000948-2021,X4154301,9/9/2021,2,18,2709,A1,Harassment - Subject Other to Physical Contact,S,Proceed to Court (Arraignment Waived),8/17/2022,,
Centre,CP-14-CR-0000948-2021,X4154301,9/9/2021,77,18,2718,A1,Strangulation - Applying Pressure to Throat or Neck,F2,Withdrawn Pursuant to Pa.R.Crim.P. 561(B),9/29/2021,,
Delaware,CP-23-CR-0001715-2021,X3576355,4/21/2021,1,18,2702,A1,Aggravated Assault - Attempts to cause SBI or causes injury with extreme indifference,F1,Proceed to Court,5/12/2021,,
Delaware,CP-23-CR-0001715-2021,X3576355,4/21/2021,2,18,2701,A1,Simple Assault,M2,Proceed to Court,5/12/2021,,
Delaware,CP-23-CR-0001715-2021,X3576355,4/21/2021,3,18,2709,A1,Harassment - Subject Other to Physical Contact,S,Proceed to Court,5/12/2021,,
Delaware,CP-23-MD-0000671-2021,R1141626,3/24/2021,1,18,2706,A1,Terroristic Threats W/ Int To Terrorize Another,,,,,
Delaware,CP-23-MD-0000671-2021,R1141626,3/24/2021,2,18,2706,A1,Terroristic Threats W/ Int To Terrorize Another,,,,,
Delaware,CP-23-MD-0000671-2021,R1141626,3/24/2021,3,18,2709,A4,"Harassment - Comm. Lewd, Threatening, Etc. Language",,,,,
Delaware,CP-23-MD-0000671-2021,R1141626,3/24/2021,4,18,2709,A4,"Harassment - Comm. Lewd, Threatening, Etc. Language",,,,,
Delaware,CP-23-MD-0000671-2021,R1141626,3/24/2021,5,18,2709.1,A2,Stalking - Repeatedly Comm. To Cause Fear,,,,,
Delaware,CP-23-MD-0000671-2021,R1141626,3/24/2021,6,18,2709.1,A2,Stalking - Repeatedly Comm. To Cause Fear,,,,,
Delaware,CP-23-MD-0000671-2021,R1141626,3/24/2021,7,18,907,B,Possession Of Weapon,,,,,
Delaware,CP-23-MD-0000671-2021,R1141626,3/24/2021,8,18,2705,,Recklessly Endangering Another Person,,,,,
Delaware,CP-23-MD-0000671-2021,R1141626,3/24/2021,9,18,2705,,Recklessly Endangering Another Person,,,,,
Delaware,CP-23-MD-0000671-2021,R1141626,3/24/2021,10,18,2701,A3,Simple Assault,,,,,
Delaware,CP-23-MD-0000671-2021,R1141626,3/24/2021,11,18,2701,A3,Simple Assault,,,,,
Delaware,CP-23-MD-0000671-2021,R1141626,3/24/2021,12,18,5503,A4,Disorderly Conduct Hazardous/Physi Off,,,,,
Delaware,CP-23-MD-0000672-2021,R1079186,3/24/2021,1,18,2706,A1,Terroristic Threats W/ Int To Terrorize Another,M1,,,,
Delaware,CP-23-MD-0000672-2021,R1079186,3/24/2021,2,18,2709,A4,"Harassment - Comm. Lewd, Threatening, Etc. Language",M3,,,,
Delaware,CP-23-MD-0000672-2021,R1079186,3/24/2021,3,18,5503,A3,Disorderly Conduct Obscene Lang/Gest,M3,,,,
Luzerne,CP-40-MD-0000008-2022,R2072991,1/4/2022,1,18,2706,A1,Terroristic Threats W/ Int To Terrorize Another,M1,,,,
Luzerne,CP-40-MD-0000008-2022,R2072991,1/4/2022,2,18,2701,A1,Simple Assault,M2,,,,
Luzerne,CP-40-MD-0000008-2022,R2072991,1/4/2022,3,18,2709,A1,Harassment - Subject Other to Physical Contact,S,,,,
Luzerne,CP-40-MD-0000008-2022,R2072991,1/4/2022,4,18,5104,,Resist Arrest/Other Law Enforce,M2,,,,
Luzerne,CP-40-MD-0000008-2022,R2072991,1/4/2022,5,18,3304,A5,Criminal Mischief - Damage Property,M3,,,,
Delaware,CP-23-CR-0001145-2021,X3810483,3/17/2021,1,18,3503,A1I,Crim Tres-Enter Structure,F3,Sent to Common Pleas (Lower Court),3/17/2021,,
Delaware,CP-23-CR-0001145-2021,X3810483,3/17/2021,2,18,3304,A2,Crim'l Misch-Tamper W/Property,F3,Sent to Common Pleas (Lower Court),3/17/2021,,
Delaware,CP-23-CR-0001145-2021,X3810483,3/17/2021,3,18,3925,A,Receiving Stolen Property,,Sent to Common Pleas (Lower Court),3/17/2021,,
Delaware,CP-23-MD-0000610-2021,X3810483,3/17/2021,1,18,3503,A1I,Crim Tres-Enter Structure,F3,Sent to Common Pleas (Lower Court),3/17/2021,,
Delaware,CP-23-MD-0000610-2021,X3810483,3/17/2021,2,18,3304,A2,Crim'l Misch-Tamper W/Property,F3,Sent to Common Pleas (Lower Court),3/17/2021,,
Delaware,CP-23-MD-0000610-2021,X3810483,3/17/2021,3,18,3925,A,Receiving Stolen Property,,Sent to Common Pleas (Lower Court),3/17/2021,,
Delaware,CP-23-CR-0006955-2019,X2880135,11/25/2019,1,35,780-113,A16,Int Poss Contr Subst By Per Not Reg,M,Guilty Plea - Negotiated,12/12/2019,Guilty Plea - Negotiated,12/12/2019
Westmoreland,CP-65-CR-0000603-2020,U7664716,2/20/2020,1,18,2702,A4,Aggravated Assault - Attempts to cause or causes BI with deadly weapon,F2,Proceed to Court,2/4/2022,,
Westmoreland,CP-65-CR-0000603-2020,U7664716,2/20/2020,2,18,2702,A4,Aggravated Assault - Attempts to cause or causes BI with deadly weapon,F2,Proceed to Court,2/4/2022,,
Westmoreland,CP-65-CR-0000603-2020,U7664716,2/20/2020,3,18,2705,,Recklessly Endangering Another Person,M2,Proceed to Court,2/4/2022,,
Westmoreland,CP-65-CR-0000603-2020,U7664716,2/20/2020,4,18,2705,,Recklessly Endangering Another Person,M2,Proceed to Court,2/4/2022,,
Westmoreland,CP-65-CR-0000603-2020,U7664716,2/20/2020,5,18,2701,A1,Simple Assault,M2,Proceed to Court,2/4/2022,,
Westmoreland,CP-65-CR-0000603-2020,U7664716,2/20/2020,6,18,2701,A1,Simple Assault,M2,Proceed to Court,2/4/2022,,
Westmoreland,CP-65-CR-0000603-2020,U7664716,2/20/2020,7,18,2701,A3,Simple Assault,M2,Proceed to Court,2/4/2022,,
Westmoreland,CP-65-CR-0000603-2020,U7664716,2/20/2020,8,18,2701,A3,Simple Assault,M2,Proceed to Court,2/4/2022,,
Westmoreland,CP-65-CR-0000603-2020,U7664716,2/20/2020,9,18,2709,A2,Harassment - Follow In Public Place,M3,Proceed to Court,2/4/2022,,
Westmoreland,CP-65-CR-0000603-2020,U7664716,2/20/2020,10,18,2709,A2,Harassment - Follow In Public Place,M3,Proceed to Court,2/4/2022,,
Westmoreland,CP-65-CR-0000603-2020,U7664716,2/20/2020,11,18,2709,A3,Harassment - Course of Conduct W/No Legitimate Purpose,M3,Proceed to Court,2/4/2022,,
Westmoreland,CP-65-CR-0000603-2020,U7664716,2/20/2020,12,18,2709,A3,Harassment - Course of Conduct W/No Legitimate Purpose,S,Proceed to Court,2/4/2022,,
Westmoreland,CP-65-CR-0000603-2020,U7664716,2/20/2020,13,75,3111,A,Obedience to Traffic-Control Devices,S,Proceed to Court,2/4/2022,,
Westmoreland,CP-65-CR-0000603-2020,U7664716,2/20/2020,14,75,3112,A3I,Failure To Stop At Red Signal,S,Proceed to Court,2/4/2022,,
Westmoreland,CP-65-CR-0000603-2020,U7664716,2/20/2020,15,75,3310,A,Follow Too Closely,S,Proceed to Court,2/4/2022,,
Westmoreland,CP-65-CR-0000603-2020,U7664716,2/20/2020,16,75,3714,A,Careless Driving,S,Proceed to Court,2/4/2022,,
Westmoreland,CP-65-CR-0000603-2020,U7664716,2/20/2020,17,75,3736,A,Reckless Driving,S,Proceed to Court,2/4/2022,,
Westmoreland,CP-65-CR-0000603-2020,U7664716,2/20/2020,99999,18,5503,A4,Disorderly Conduct Hazardous/Physi Off,M3,Withdrawn,4/6/2020,,
Westmoreland,CP-65-CR-0000603-2020,U7664716,2/20/2020,99999,18,3503,B1iv,Def Tres Posted on School Grounds,S,Withdrawn,4/6/2020,,
Westmoreland,CP-65-CR-0003390-2020,U8862162,11/3/2020,1,18,2702,A1,Aggravated Assault - Attempts to cause SBI or causes injury with extreme indifference,F1,Proceed to Court,2/4/2022,,
